File,Folder,Fs,NumChannels,Channel,Dur_ms,tL_ms,tR_ms,fAM_Hz,fAM_kHz,PeakProminence,EnvLP_Hz,Presence_RMS,Fmax_kHz,AM_Method,Tau_xcorr_ms,Tau_cep_ms,Tau_ripple_ms,Tau_cons_ms,OverlapFlag,nCorrPeaks,DurInfl_ms,fRipple_Hz,fRipple_kHz,DurCorr_ms
Call_11.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT026_Analysis/segment_02,192000,4,4,3.71354166666667,8.36458333333333,12.078125,1921.875,1.921875,0.257593886836769,5000,0.00125300467942678,54,welch,0.34375,0.34375,1.93939393939394,0.34375,1,10,0.34375,2909.09090909091,2.90909090909091,3.36979166666667
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,1,3.76041666666666,11.9635416666667,15.7239583333333,2296.875,2.296875,0.00606704096550747,5000,0.00132641103803103,54,welch,0.208333333333333,0.291666666666667,1.93939393939394,0.291666666666667,1,1,0.291666666666667,3428.57142857143,3.42857142857143,3.46875
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,2,3.22916666666667,8.36458333333333,11.59375,2156.25,2.15625,0.00262889738156443,5000,0.00279784242049643,51,welch,0.208333333333333,0.479166666666667,1.93939393939394,NaN,0,3,NaN,NaN,NaN,3.22916666666667
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,3,3.58333333333333,10.6510416666667,14.234375,4500,4.5,0.000160015256251695,5000,0.00152954546891261,51,welch,NaN,0.21875,1.93939393939394,NaN,0,0,NaN,NaN,NaN,3.58333333333333
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,4,3.59895833333333,10.2708333333333,13.8697916666667,2531.25,2.53125,0.006092010073898,5000,0.00140232276946875,51,welch,NaN,0.828125,1.93939393939394,NaN,0,0,NaN,NaN,NaN,3.59895833333333
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,1,4.625,11.984375,16.609375,1031.25,1.03125,0.335239218532065,5000,0.000794066119193376,55,welch,0.234375,0.208333333333333,1.93939393939394,0.234375,1,6,0.234375,4266.66666666667,4.26666666666667,4.390625
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,2,3.81770833333333,8.44270833333333,12.2604166666667,1078.125,1.078125,0.289393824053143,5000,0.00166846150034837,50,welch,0.244791666666667,0.505208333333333,1.93939393939394,NaN,0,8,NaN,NaN,NaN,3.81770833333333
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,3,3.98958333333333,10.5625,14.5520833333333,796.875,0.796875,0.396874847674087,5000,0.0010914869257256,51,welch,0.223958333333333,0.203125,1.93939393939394,0.223958333333333,1,2,0.223958333333333,4465.11627906977,4.46511627906977,3.765625
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,4,4.11458333333333,10.5677083333333,14.6822916666667,3421.875,3.421875,0.00120411205556649,5000,0.00104108790629112,53,welch,0.21875,0.401041666666667,1.93939393939394,NaN,0,3,NaN,NaN,NaN,4.11458333333333
Call_05.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT028_Analysis/segment_01,192000,4,1,3.78125,11.1458333333333,14.9270833333333,984.375,0.984375,0.14298428755601,5000,0.000965623840268029,49,welch,0.25,0.203125,1.93939393939394,0.25,1,11,0.25,4000,4,3.53125
